Length,Frequency
0,0
1,75
2,2645
3,33756
4,117423
5,160073
6,266689
7,314651
8,340436
9,397150
10,490281
11,620733
12,718993
13,775584
14,789302
15,768869
16,719425
17,664494
18,630257
19,570045
20,542628
21,499902
22,462918
23,421639
24,396816
25,354355
26,322869
27,294249
28,275642
29,259347
30,248572
31,222251
32,198379
33,179602
34,167671
35,153147
36,151636
37,127710
38,114729
39,104444
40,94300
41,84997
42,86576
43,73608
44,64395
45,55697
46,50878
47,45568
48,46570
49,41878
50,33451
51,30168
52,27435
53,24812
54,26111
55,23962
56,18263
57,16464
58,14801
59,13631
60,15227
61,15574
62,11758
63,10277
64,9709
65,9104
66,10190
67,10582
68,7557
69,6507
70,5698
71,5191
72,5605
73,7097
74,5046
75,3693
76,3278
77,2789
78,3083
79,4811
80,3277
81,2162
82,1893
83,1645
84,1931
85,3399
86,2345
87,1449
88,1124
89,1027
90,1110
91,2527
92,1707
93,1043
94,775
95,739
96,728
97,1849
98,1223
99,768
100,533
101,491
102,536
103,1300
104,959
105,640
106,390
107,392
108,427
109,865
110,770
111,517
112,351
113,292
114,309
115,633
116,672
117,462
118,309
119,211
120,244
121,414
122,551
123,404
124,277
125,197
126,209
127,323
128,520
129,307
130,233
131,179
132,195
133,252
134,443
135,302
136,249
137,158
138,179
139,177
140,410
141,245
142,163
143,143
144,203
145,163
146,382
147,253
148,193
149,128
150,167
151,128
152,355
153,208
154,175
155,117
156,151
157,110
158,286
159,181
160,159
161,110
162,152
163,90
164,257
165,134
166,143
167,94
168,111
169,78
170,209
171,138
172,103
173,65
174,93
175,66
176,168
177,120
178,93
179,70
180,103
181,58
182,124
183,104
184,100
185,64
186,57
187,45
188,101
189,84
190,84
191,71
192,47
193,43
194,74
195,84
196,72
197,43
198,36
199,32
200,46
201,64
202,54
203,47
204,51
205,36
206,50
207,53
208,62
209,45
210,36
211,26
212,45
213,46
214,56
215,42
216,38
217,28
218,42
219,45
220,46
221,34
222,23
223,17
224,28
225,40
226,46
227,35
228,31
229,30
230,28
231,52
232,39
233,28
234,18
235,16
236,26
237,40
238,31
239,29
240,19
241,16
242,17
243,28
244,25
245,19
246,19
247,14
248,13
249,25
250,19
251,11
252,13
253,9
254,12
255,24
256,17
257,20
258,19
259,11
260,15
261,20
262,11
263,13
264,17
265,12
266,8
267,23
268,18
269,15
270,8
271,8
272,9
273,23
274,9
275,15
276,8
277,12
278,12
279,17
280,13
281,6
282,16
283,4
284,6
285,10
286,14
287,13
288,15
289,11
290,11
291,11
292,16
293,14
294,12
295,7
296,11
297,13
298,13
299,13
300,13
301,7
302,7
303,6
304,8
305,7
306,10
307,6
308,5
309,10
310,12
311,13
312,5
313,9
314,10
315,5
316,5
317,7
318,7
319,3
320,3
321,7
322,7
323,4
324,7
325,4
326,8
327,4
328,13
329,11
330,2
331,3
332,4
333,2
334,6
335,5
336,7
337,5
338,3
339,2
340,4
341,4
342,8
343,2
344,5
345,3
346,6
347,9
348,7
349,4
350,6
351,3
352,4
353,6
354,6
355,5
356,4
357,3
358,8
359,6
360,6
361,6
362,2
363,1
364,2
365,3
366,7
367,3
368,3
369,4
370,1
371,4
372,4
373,3
374,4
375,4
376,6
377,6
378,4
379,2
381,2
382,2
383,2
385,4
386,1
387,2
388,5
389,2
390,2
391,3
392,2
393,1
394,2
396,3
397,2
398,5
399,3
400,3
401,1
402,3
403,1
404,2
405,1
408,3
409,3
410,3
411,2
413,4
415,1
416,1
417,1
418,2
419,3
420,3
421,2
422,4
423,3
424,2
426,3
427,2
428,1
429,3
430,1
431,2
432,1
433,1
434,1
435,1
436,1
438,2
440,1
441,1
442,1
444,1
446,2
447,1
448,4
449,1
451,3
456,1
460,2
463,1
468,1
469,2
470,2
471,2
477,1
479,1
480,3
482,3
484,1
489,1
491,1
495,2
497,1
498,1
502,1
506,1
507,1
510,1
511,2
513,1
514,1
516,1
518,1
519,1
520,1
524,1
525,1
530,1
531,2
532,1
535,2
539,1
541,2
543,1
551,2
552,1
556,1
557,1
563,2
568,1
569,1
570,1
571,1
572,1
573,1
574,2
575,1
590,1
603,1
610,1
617,1
629,1
632,1
634,1
637,1
639,1
641,1
646,1
648,1
651,1
658,2
659,1
664,1
665,1
666,1
676,1
693,1
695,1
698,2
704,1
712,1
721,1
734,1
778,1
782,1
784,1
787,1
817,1
826,1
828,1
833,1
836,1
841,1
857,1
935,1
954,1
983,1
988,1
1015,1
1018,1
1085,1
1110,1
1212,1
1227,1
1305,1
1331,1
1395,1
1491,1
1743,1
1834,1
2241,1
2350,1
2863,1
3680,1
4067,1
